TAG,ATTRIBUTE,CONCUR,COUNTER,DENY,ENDORSE,ENTERTAIN,JUSTIFY,MONOGLOSS,PRONOUNCE,,
RB,0,5,83,133,0,46,42,0,14,,323
VBP,11,0,0,0,5,49,0,89,3,,157
NN,4,0,0,0,0,1,0,3,3,,11
VBD,25,0,0,0,10,8,0,107,2,,152
VBZ,48,0,0,0,14,32,1,185,1,,281
JJ,0,0,0,0,0,13,10,7,1,,31
IN,6,7,34,0,1,66,74,1,1,,190
PRP,0,2,0,0,0,0,0,0,1,,3
VBN,25,0,0,0,15,5,1,103,0,,149
VB,10,2,0,0,0,33,0,46,0,,91
VBG,20,0,0,0,2,2,1,19,0,,44
NNS,2,0,0,0,0,0,1,0,0,,3
MD,0,0,0,6,1,266,0,0,0,,273
WRB,0,1,0,0,0,17,0,0,0,,18
CC,0,0,65,1,0,3,0,0,0,,69
RBS,0,0,0,0,0,2,0,0,0,,2
XX,0,0,0,0,0,2,0,0,0,,2
WP,0,0,0,0,0,2,0,0,0,,2
WDT,0,0,0,0,0,1,0,0,0,,1
TO,0,0,0,0,0,1,0,0,0,,1
DT,1,0,0,18,0,0,0,0,0,,19
NNP,2,0,0,0,0,0,0,0,0,,2
PRP$,1,0,0,0,0,0,0,0,0,,1